duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,monthly_burden,is_overdrawn,no_checking,is_large_loan,is_long_duration,is_young_borrower,savings_risk_score,employment_score,debt_burden_index,purpose_risk,has_multiple_credits,has_guarantor,checking_status_lt0,checking_status_gte200,checking_status_no_checking,credit_history_critical_other_existing_credit,credit_history_delayed_previously,credit_history_existing_paid,credit_history_no_credits_all_paid,purpose_domestic_appliance,purpose_education,purpose_furniture_equipment,purpose_new_car,purpose_other,purpose_radio_tv,purpose_repairs,purpose_retraining,purpose_used_car,savings_status_500_to_1000,savings_status_lt100,savings_status_gte1000,savings_status_no_known_savings,employment_4_to_7,employment_lt1,employment_gte7,employment_unemployed,personal_status_male_div_sep,personal_status_male_mar_wid,personal_status_male_single,other_parties_guarantor,other_parties_none,property_magnitude_life_insurance,property_magnitude_no_known_property,property_magnitude_real_estate,other_payment_plans_none,other_payment_plans_stores,housing_own,housing_rent,job_skilled,job_unemp_unskilled_non_res,job_unskilled_resident,own_telephone_yes,foreign_worker_yes,target
24,3430,3,2,31,1,2,142.91666666666666,0,1,0,0,0,1,4,102.9,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,0
9,2134,4,4,48,3,1,237.11111111111111,0,1,0,0,0,3,2,85.36,1,1,0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,0
6,2647,2,3,44,1,2,441.1666666666667,1,0,0,0,0,1,2,52.94,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,0
10,2241,1,3,48,2,2,224.1,1,0,0,0,0,3,1,22.41,1,1,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,0
12,1804,3,4,44,1,1,150.33333333333334,0,0,0,0,0,2,1,54.12,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,0
10,2069,2,1,26,2,1,206.9,0,1,0,0,0,4,2,41.38,1,1,0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,0
6,1374,1,2,36,1,1,229.0,1,0,0,0,0,3,2,13.74,1,0,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,True,0
6,426,4,4,39,1,1,71.0,0,1,0,0,0,3,4,17.04,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,0
12,409,3,3,42,2,1,34.083333333333336,0,0,0,0,0,0,2,12.27,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,True,0
7,2415,3,2,34,1,1,345.0,0,0,0,0,0,3,2,72.45,1,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,False,True,0
60,6836,3,4,63,2,1,113.93333333333334,1,0,1,1,0,3,4,205.08,2,1,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,1
18,1913,3,3,36,1,1,106.27777777777777,0,0,0,0,0,0,1,57.39,2,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,0
24,4020,2,2,27,1,1,167.5,1,0,1,0,0,3,2,80.4,1,0,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,True,0
18,5866,2,2,30,2,1,325.8888888888889,0,0,1,0,0,2,2,117.32,1,1,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,0
12,1264,4,4,57,1,1,105.33333333333333,0,1,0,0,0,4,4,50.56,2,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,0
12,1474,4,1,33,1,1,122.83333333333333,0,0,0,0,0,3,1,58.96,1,0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,0
45,4746,4,2,25,2,1,105.46666666666667,0,0,1,1,0,3,1,189.84,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,1
48,6110,1,3,31,1,1,127.29166666666667,0,1,1,1,0,3,2,61.1,2,0,0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,0
18,2100,4,2,37,1,1,116.66666666666667,0,0,0,0,0,3,2,84.0,1,0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,True,1
10,1225,2,2,37,1,1,122.5,0,0,0,0,0,3,2,24.5,1,0,0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,0
9,458,4,3,24,1,1,50.888888888888886,0,0,0,0,1,3,2,18.32,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,0
30,2333,4,2,30,1,1,77.76666666666667,0,1,0,1,0,1,4,93.32,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0
12,1158,3,1,26,1,1,96.5,0,0,0,0,0,1,2,34.74,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,0
18,6204,2,4,44,1,2,344.6666666666667,0,0,1,0,0,3,2,124.08,2,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,True,0
30,6187,1,4,24,2,1,206.23333333333332,1,0,1,1,1,2,3,61.87,1,1,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,0
48,6143,4,4,58,2,1,127.97916666666667,1,0,1,1,0,3,4,245.72,1,1,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,1
11,1393,4,4,35,2,1,126.63636363636364,0,1,0,0,0,3,1,55.72,1,1,0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,0
36,2299,4,4,39,1,1,63.861111111111114,0,1,0,1,0,1,4,91.96,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,0
6,1352,1,2,23,1,1,225.33333333333334,1,0,0,0,1,1,0,13.52,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,True,0
11,7228,1,4,39,2,1,657.0909090909091,0,1,1,0,0,3,2,72.28,1,1,0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,0
12,2073,4,2,28,1,1,172.75,0,1,0,0,0,2,2,82.92,1,0,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,0
24,2333,4,2,29,1,1,97.20833333333333,0,0,0,0,0,4,1,93.32,1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,0
27,5965,1,2,30,2,1,220.92592592592592,0,0,1,1,0,3,4,59.65,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,0
12,1262,3,2,25,1,1,105.16666666666667,0,1,0,0,0,3,2,37.86,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,0
18,3378,2,1,31,1,1,187.66666666666666,0,1,0,0,0,4,2,67.56,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,True,True,0
36,2225,4,4,57,2,1,61.80555555555556,0,0,0,1,0,3,4,89.0,1,1,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,1
6,783,1,2,26,1,2,130.5,0,1,0,0,0,4,2,7.83,1,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,True,False,True,0
12,6468,2,1,52,1,1,539.0,0,0,1,0,0,4,0,129.36,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,True,1
36,9566,2,2,31,2,1,265.72222222222223,0,1,1,1,0,3,2,191.32,1,1,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,0
18,1961,3,2,23,1,1,108.94444444444444,0,0,0,0,1,3,4,58.83,1,0,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,0
36,6229,4,4,23,2,1,173.02777777777777,1,0,1,1,1,3,1,249.16,1,1,1,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,1
9,1391,2,1,27,1,1,154.55555555555554,0,0,0,0,0,3,2,27.82,2,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,0
15,1537,4,4,50,2,1,102.46666666666667,0,0,0,0,0,4,4,61.48,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,True,0
36,1953,4,4,61,1,1,54.25,0,0,0,1,0,3,4,78.12,2,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,1
48,14421,2,2,25,1,1,300.4375,0,0,1,1,0,3,2,288.42,2,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,1
24,3181,4,4,26,1,1,132.54166666666666,0,1,0,0,0,3,1,127.24,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,0
27,5190,4,4,48,4,2,192.22222222222223,0,1,1,1,0,4,4,207.6,2,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,True,True,0
12,2171,2,2,29,1,1,180.91666666666666,0,1,0,0,0,3,1,43.42,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,0
12,1007,4,1,22,1,1,83.91666666666667,0,0,0,0,1,0,2,40.28,1,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,True,0
36,1819,4,4,37,1,1,50.52777777777778,0,1,0,1,0,3,2,72.76,2,0,0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,1
36,2394,4,4,25,1,1,66.5,0,1,0,1,0,4,2,95.76,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,0
36,8133,1,2,30,1,1,225.91666666666666,0,1,1,1,0,3,2,81.33,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,0
7,730,4,2,46,2,1,104.28571428571429,0,1,0,0,0,4,4,29.2,1,1,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,0
8,1164,3,4,51,2,2,145.5,1,0,0,0,0,3,4,34.92,3,1,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,0
42,5954,2,1,41,2,1,141.76190476190476,0,0,1,1,0,3,3,119.08,2,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,0
36,1977,4,4,40,1,1,54.916666666666664,1,0,0,1,0,4,4,79.08,2,0,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,True,1
12,1526,4,4,66,2,1,127.16666666666667,1,0,0,0,0,3,4,61.04,1,1,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,0
42,3965,4,3,34,1,1,94.4047619047619,1,0,0,1,0,3,1,158.6,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,1
11,4771,2,4,51,1,1,433.72727272727275,0,0,1,0,0,3,3,95.42,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,0
54,9436,2,2,39,1,2,174.74074074074073,0,1,1,1,0,4,2,188.72,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,0
30,3832,2,1,22,1,1,127.73333333333333,0,0,0,1,1,3,1,76.64,1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,0
24,5943,1,1,44,2,1,247.625,0,1,1,0,0,4,1,59.43,1,1,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,1
15,1213,4,3,47,1,1,80.86666666666666,0,1,0,0,0,1,4,48.52,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,True,True,0
18,1568,3,4,24,1,1,87.11111111111111,0,1,0,0,1,2,2,47.04,2,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,0
24,1755,4,4,58,1,1,73.125,1,0,0,0,0,3,4,70.2,3,0,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,0
10,2315,3,4,52,1,1,231.5,1,0,0,0,0,3,4,69.45,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,0
12,1412,4,2,29,2,1,117.66666666666667,0,1,0,0,0,3,2,56.48,2,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,True,0
18,1295,4,1,27,2,1,71.94444444444444,0,0,0,0,0,3,1,51.8,1,1,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,0
36,12612,1,4,47,1,2,350.3333333333333,0,0,1,1,0,2,2,126.12,2,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,True,1
18,2249,4,3,30,1,2,124.94444444444444,1,0,0,0,0,2,3,89.96,1,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,0
12,1108,4,3,28,2,1,92.33333333333333,1,0,0,0,0,3,3,44.32,2,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,1
12,618,4,4,56,1,1,51.5,0,1,0,0,0,3,4,24.72,1,0,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,0
12,1409,4,3,54,1,1,117.41666666666667,1,0,0,0,0,3,4,56.36,1,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,0
12,797,4,3,33,1,2,66.41666666666667,0,1,0,0,0,4,4,31.88,1,0,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,1
24,3617,4,4,20,2,1,150.70833333333334,0,0,0,0,1,4,4,144.68,1,1,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,0
12,1318,4,4,54,1,1,109.83333333333333,0,0,0,0,0,0,4,52.72,1,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True,0
54,15945,3,4,58,1,1,295.27777777777777,0,0,1,1,0,3,1,478.35,2,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,1
12,2012,4,2,61,1,1,167.66666666666666,0,1,0,0,0,4,3,80.48,2,0,0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,0
18,2622,4,4,34,1,1,145.66666666666666,0,0,0,0,0,2,2,104.88,2,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,0
36,2337,4,4,36,1,1,64.91666666666667,0,0,0,1,0,3,4,93.48,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,0
